time;P;;;;;;;;;;
20200123:2311;0.0;;;;;;;;;;
20200124:0011;0.0;;;;;;;;;;
20200124:0111;0.0;;;;;;;;;;
20200124:0211;0.0;;;;;;;;;;
20200124:0311;0.0;;;;;;;;;;
20200124:0411;0.0;;;;;;;;;;
20200124:0511;0.0;;;;;;;;;;
20200124:0611;0.0;;;;;;;;;;
20200124:0711;0.0;;;;;;;;;;
20200124:0811;288018.0;;;;;;;;;;
20200124:0911;615924.0;;;;;;;;;;
20200124:1011;124704.0;;;;;;;;;;
20200124:1111;81108.0;;;;;;;;;;
20200124:1211;50526.0;;;;;;;;;;
20200124:1311;43506.0;;;;;;;;;;
20200124:1411;14940.0;;;;;;;;;;
20200124:1511;0.0;;;;;;;;;;
20200124:1611;0.0;;;;;;;;;;
20200124:1711;0.0;;;;;;;;;;
20200124:1811;0.0;;;;;;;;;;
20200124:1911;0.0;;;;;;;;;;
20200124:2011;0.0;;;;;;;;;;
20200124:2111;0.0;;;;;;;;;;
20200124:2211;0.0;;;;;;;;;;
20200124:2311;0.0;;;;;;;;;;
20200125:0011;0.0;;;;;;;;;;
20200125:0111;0.0;;;;;;;;;;
20200125:0211;0.0;;;;;;;;;;
20200125:0311;0.0;;;;;;;;;;
20200125:0411;0.0;;;;;;;;;;
20200125:0511;0.0;;;;;;;;;;
20200125:0611;0.0;;;;;;;;;;
20200125:0711;0.0;;;;;;;;;;
20200125:0811;54270.0;;;;;;;;;;
20200125:0911;72666.0;;;;;;;;;;
20200125:1011;108432.0;;;;;;;;;;
20200125:1111;111114.0;;;;;;;;;;
20200125:1211;110718.0;;;;;;;;;;
20200125:1311;92430.0;;;;;;;;;;
20200125:1411;28548.0;;;;;;;;;;
20200125:1511;0.0;;;;;;;;;;
20200125:1611;0.0;;;;;;;;;;
20200125:1711;0.0;;;;;;;;;;
20200125:1811;0.0;;;;;;;;;;
20200125:1911;0.0;;;;;;;;;;
20200125:2011;0.0;;;;;;;;;;
20200125:2111;0.0;;;;;;;;;;
20200125:2211;0.0;;;;;;;;;;
20200125:2311;0.0;;;;;;;;;;
20200126:0011;0.0;;;;;;;;;;
20200126:0111;0.0;;;;;;;;;;
20200126:0211;0.0;;;;;;;;;;
20200126:0311;0.0;;;;;;;;;;
20200126:0411;0.0;;;;;;;;;;
20200126:0511;0.0;;;;;;;;;;
20200126:0611;0.0;;;;;;;;;;
20200126:0711;0.0;;;;;;;;;;
20200126:0811;22518.0;;;;;;;;;;
20200126:0911;85284.0;;;;;;;;;;
20200126:1011;125478.0;;;;;;;;;;
20200126:1111;127080.0;;;;;;;;;;
20200126:1211;198954.0;;;;;;;;;;
20200126:1311;120204.0;;;;;;;;;;
20200126:1411;43110.0;;;;;;;;;;
20200126:1511;0.0;;;;;;;;;;
20200126:1611;0.0;;;;;;;;;;
20200126:1711;0.0;;;;;;;;;;
20200126:1811;0.0;;;;;;;;;;
20200126:1911;0.0;;;;;;;;;;
20200126:2011;0.0;;;;;;;;;;
20200126:2111;0.0;;;;;;;;;;
20200126:2211;0.0;;;;;;;;;;
20200126:2311;0.0;;;;;;;;;;
20200127:0011;0.0;;;;;;;;;;
20200127:0111;0.0;;;;;;;;;;
20200127:0211;0.0;;;;;;;;;;
20200127:0311;0.0;;;;;;;;;;
20200127:0411;0.0;;;;;;;;;;
20200127:0511;0.0;;;;;;;;;;
20200127:0611;0.0;;;;;;;;;;
20200127:0711;0.0;;;;;;;;;;
20200127:0811;7092.0;;;;;;;;;;
20200127:0911;61110.0;;;;;;;;;;
20200127:1011;222948.0;;;;;;;;;;
20200127:1111;107136.0;;;;;;;;;;
20200127:1211;155124.0;;;;;;;;;;
20200127:1311;192654.0;;;;;;;;;;
20200127:1411;86832.0;;;;;;;;;;
20200127:1511;3168.0;;;;;;;;;;
20200127:1611;0.0;;;;;;;;;;
20200127:1711;0.0;;;;;;;;;;
20200127:1811;0.0;;;;;;;;;;
20200127:1911;0.0;;;;;;;;;;
20200127:2011;0.0;;;;;;;;;;
20200127:2111;0.0;;;;;;;;;;
20200127:2211;0.0;;;;;;;;;;
20200127:2311;0.0;;;;;;;;;;
20200128:0011;0.0;;;;;;;;;;
20200128:0111;0.0;;;;;;;;;;
20200128:0211;0.0;;;;;;;;;;
20200128:0311;0.0;;;;;;;;;;
20200128:0411;0.0;;;;;;;;;;
20200128:0511;0.0;;;;;;;;;;
